LSOA21CD,Population,Households,Working_population,Students,Unemployed,Age_over_65,Disability,No_central_heating,Overcrowding,Working_from_home
E01006416,1520,678,588,59,3.5744681,14.8416887,27.1052632,16,24,91
E01006418,1315,567,547,64,2.7358491,17.5304878,30.0380228,14,24,84
E01006434,1519,652,660,69,5.1131601,11.7259552,23.3706386,16,35,102
E01006435,1524,663,581,82,3.4285714,19.8949442,29.0026247,7,28,96
E01006438,1150,490,546,51,1.6161616,26.2608696,20.5217391,3,13,165
E01006439,1654,695,766,66,2.9585799,19.1515152,22.4909311,8,21,171
E01006446,1450,592,558,65,4.7745358,15.5065472,25.7241379,9,29,101
E01006412,1581,622,570,89,4.4962531,15.4090044,28.2099937,9,23,64
E01006413,1421,809,524,52,5.2941176,15.2601969,33.8494018,12,31,66
E01006414,1373,618,481,72,4.011194,21.1678832,29.7887837,9,22,48
E01034832,1009,468,436,47,2.8950543,17.6412289,23.5877106,7,11,77
E01006448,2163,852,698,98,4.7249191,11.0083256,26.5834489,17,41,89
E01006492,1300,514,575,46,2.7619048,23.1124807,23.2307692,12,21,95
E01006493,1843,722,776,109,3.9085546,9.6529284,20.9441129,10,25,147
E01006494,1799,680,618,114,4.2121685,10.4941699,24.9583102,1,35,102
E01006495,2316,859,1029,105,3.0885781,10.2420052,22.6683938,14,29,224
E01006454,1547,658,783,45,1.0827533,22.1359223,20.8791209,8,10,183
E01006456,1521,683,720,62,2.8051554,22.5657895,21.8277449,10,11,168
E01006457,1246,554,570,40,1.8198362,32.638332,24.7993579,13,14,113
E01006458,1546,655,666,72,2.1756648,18.7459599,24.7736093,6,23,147
E01006490,2646,1059,1459,136,2.6816187,9.5993953,15.6084656,9,28,370
E01006491,2019,801,1122,85,2.5080386,9.5190878,16.7904903,11,24,248
E01006415,1987,778,956,82,3.0788967,13.1155779,21.0367388,10,29,181
E01006417,1259,565,529,41,3.5211268,15.0119142,25.1787133,14,23,89
E01006436,1453,646,537,82,4.5879354,13.6049724,29.7315898,15,28,70
E01006437,1389,684,490,50,3.3851784,18.2602444,30.8135349,4,22,87
E01006447,1382,670,576,60,4.4866264,15.918958,29.1606368,18,24,86
E01006455,1753,756,652,82,4.1267502,15.8857143,27.0964062,13,20,84
E01006506,1308,597,606,65,4.0149393,14.6248086,21.7125382,24,21,124
E01006507,1535,669,644,75,4.3874172,13.8110749,25.3420195,8,23,95
E01006508,1377,605,685,79,3.6874451,13.362382,22.4400871,13,22,122
E01006509,1771,780,726,85,4.0201005,14.3421796,25.8610954,19,29,126
E01006510,1338,571,629,32,1.6838167,20.5684368,18.6846039,20,18,126
E01034833,2181,833,1106,101,2.7239709,8.5203848,17.1939477,9,18,252
E01006460,1533,640,515,59,4.9781659,13.9215686,27.9191129,7,26,58
E01006461,1441,591,555,80,2.972973,14.7609148,25.1214434,12,34,78
E01006464,2667,1186,1421,98,2.1228546,17.960255,19.2350956,12,9,357
E01006466,1490,744,743,56,1.8124507,20.7635633,23.1543624,14,16,192
E01034834,1212,708,504,42,3.9622642,19.9173554,32.5907591,18,20,97
E01034835,1124,534,608,42,4.5924225,6.2388592,19.1281139,13,5,157
E01006453,1183,513,429,50,4.9052397,11.2711864,24.3448859,2,30,62
E01006467,1305,560,431,68,4.7141424,13.3894415,29.2720307,16,34,59
E01006470,1411,619,560,68,3.968254,14.893617,28.7030475,7,20,77
E01033228,2698,1129,1106,158,4.4651619,11.3088617,22.0163084,14,44,188
E01006459,1632,703,826,72,2.8782288,17.679558,18.75,8,13,141
E01006462,1700,715,886,75,1.9047619,16.1955241,16.3529412,14,17,237
E01006496,1401,610,618,65,3.2562125,19.3571429,26.6952177,10,20,104
E01006498,1568,584,882,80,1.7463933,15.5612245,15.369898,3,6,254
E01006499,1929,842,1005,77,2.5291829,14.8648649,17.0036288,13,14,235
E01006440,1401,596,564,76,4.0366972,11.4917916,25.1962884,11,25,99
E01006442,1480,718,569,56,5.6410256,15.4416723,30.472973,14,25,62
E01006443,1469,707,504,56,4.3965517,19.1836735,31.3818924,9,21,71
E01006444,1387,495,467,76,3.1822565,15.6182213,28.9834174,9,21,60
E01006445,1265,529,499,55,4.8205128,12.3028391,25.2964427,8,20,66
E01006465,1578,636,836,79,1.0614102,17.2370089,16.6032953,8,8,232
E01006482,1504,578,640,100,4.8639736,18.3510638,24.8005319,7,25,122
E01006483,1464,648,648,70,4.1060736,16.5526676,24.0437158,16,23,99
E01006484,1301,547,581,50,4.6889952,17.2043011,22.2905457,7,26,97
E01006449,1595,666,701,68,3.3385093,19.6731615,24.200627,10,22,153
E01006450,1712,759,824,63,2.3014105,13.1147541,19.9766355,12,20,197
E01006451,1417,601,605,67,2.6408451,18.7588152,26.534933,5,14,124
E01006452,1409,621,669,59,2.5823687,15.2266289,21.5046132,21,13,108
E01006497,1113,500,502,57,4.2071197,19.5867026,22.0125786,7,16,106
E01006500,1052,465,402,44,2.6744186,22.0643939,26.7110266,6,12,62
E01006501,1379,547,674,92,1.8587361,13.3090909,18.4191443,8,16,163
E01006504,1184,491,502,74,3.8293217,13.2601351,24.1554054,2,19,95
E01006505,1670,684,640,81,3.2357473,16.3289631,26.2874251,1,41,100
E01006472,1506,614,745,70,1.5923567,22.310757,16.4010624,2,7,208
E01006485,1835,745,956,85,2.5342466,15.0408719,15.8038147,9,12,256
E01006486,1139,488,576,49,2.3012552,22.6514486,17.8226514,5,6,178
E01006487,1451,621,706,58,1.7470882,22.5206612,18.2632667,9,16,163
E01006488,2458,969,1290,94,1.674277,16.6802278,15.6224573,15,11,391
E01006642,1397,616,543,85,4.8249763,12.3925501,25.2684324,9,36,85
E01006643,1802,762,745,143,4.1394336,11.2831858,22.1420644,14,28,126
E01006567,1668,878,598,103,3.4265734,23.6952609,30.6954436,26,26,131
E01006568,1539,615,693,70,3.1080031,22.106632,23.7816764,22,15,181
E01006570,1422,600,684,66,2.9585799,21.9409283,19.1279887,7,8,195
E01006571,1436,609,582,51,2.8720627,18.6499652,28.4122563,15,24,123
E01006711,1571,675,636,105,6.2052506,11.5139949,24.6976448,19,31,137
E01006717,1386,571,689,88,2.7164686,19.6389892,19.2640693,9,20,171
E01006718,1541,666,696,110,2.8816199,16.8721609,26.1518494,18,23,179
E01006719,1381,589,677,70,2.6737968,16.8596237,22.2302679,7,16,180
E01032508,1734,836,736,158,4.5327755,12.1037464,26.816609,24,51,131
E01006801,1922,836,949,69,1.1479592,21.4992192,15.8168574,6,1,330
E01006773,1312,552,658,62,1.9230769,21.5209125,16.6920732,11,5,202
E01032509,1297,614,544,59,5.1158301,14.4067797,22.5905937,19,23,109
E01006690,1834,839,713,307,6.1114842,8.6150491,21.5921483,25,94,126
E01006692,2512,1083,1055,193,4.7212456,11.3989637,20.4617834,28,50,213
E01006695,1804,937,679,170,7.2,9.2017738,23.4478936,32,79,121
E01006759,1036,427,456,93,3.7457435,14.5192308,23.1660232,13,16,108
E01006760,1441,681,637,112,5.4848967,14.255911,26.1623872,32,41,140
E01006565,1513,619,669,97,2.5437202,19.9208443,24.9173827,16,25,134
E01006569,1418,605,587,72,3.8427948,18.899859,23.9069111,17,22,130
E01006573,1448,754,600,143,3.8211382,20.9254144,26.9337017,26,24,119
E01006712,1225,526,552,72,2.1956088,19.0359477,24.7346939,14,19,134
E01006713,1299,575,620,81,2.9162747,17.8598922,22.5558122,24,14,138
E01006691,1783,662,636,558,3.9333333,7.5196409,18.3398766,29,52,121
E01006694,1960,823,644,360,3.7651563,8.6867655,18.4183673,31,69,95
E01006696,1995,818,733,342,4.3935644,11.2725451,20.1002506,31,53,99
E01006697,1926,749,704,501,4.7199497,7.7841204,19.2107996,32,54,101
E01006746,1657,665,492,485,2.3943662,13.1483715,25.1659626,16,31,82
E01006512,2266,542,554,1548,2.6267281,2.7348919,13.6804943,30,20,178
E01006747,2756,731,733,1707,1.8752392,5.6200145,15.7111756,24,45,131
E01006748,2195,711,650,1395,1.8410853,5.6621005,14.9886105,15,38,107
E01006751,2698,791,648,1299,2.0876827,10.8308605,20.2742772,17,50,115
E01033763,2467,1029,933,581,2.9787234,12.9922858,22.8617754,22,57,186
E01006566,1366,592,645,76,2.3809524,20.1019665,23.4260615,19,15,175
E01006585,1337,618,551,84,2.7953111,15.9192825,26.8511593,13,17,120
E01006586,1730,851,806,104,3.5422343,18.9017341,21.9075145,13,11,244
E01006587,1525,679,746,98,2.8571429,20.6422018,20.1311475,10,20,216
E01006716,1414,663,593,83,3.4602076,16.9263456,26.5912306,22,22,141
E01006575,1290,556,594,80,3.490566,18.9628483,23.875969,11,11,190
E01006576,1762,734,932,70,1.8465909,18.2954545,16.5153235,17,0,310
E01006577,1524,592,730,72,1.8699187,21.5173316,15.8136483,13,9,281
E01006579,1563,596,776,91,1.9275251,21.5473146,15.1631478,8,3,253
E01006584,1415,627,730,65,2.9239766,21.2720848,17.0318021,11,4,216
E01006725,1498,723,687,114,3.7933818,13.760855,23.2977303,23,24,193
E01006726,1730,629,608,592,3.9014374,7.0642733,16.2427746,23,34,143
